,nama,harga
0,LOGITECH Pop Mouse Daydream,353500
1,LOGITECH Pop Mouse Heartbreaker,353500
2,LOGITECH Pop Mouse Blast,389000
3,MICROSOFT Surface Arc Mouse Black,1749000
4,MICROSOFT Surface Arc Mouse Platinum,1749000
5,DELL Optical Mouse MS116 Black,64500
6,LOGITECH M190 Wireless Mouse Red,212000
7,RAPOO Wired Mouse N100 Black,40500
8,MICROSOFT Surface Arc Touch Mouse - Gray,1675000
9,LOGITECH M190 Wireless Mouse Charcoal,212000
10,LOGITECH M190 Wireless Mouse Blue,212000
11,RAPOO Wired Mouse N200 Black,40500
12,LOGITECH MX Master 3 Wireless Mouse,1490000
13,TARGUS W600 Wireless Optical Mouse White,156500
14,TARGUS W600 Wireless Optical Mouse Black,156500
15,LOGITECH M221 Silent Wireless Mouse White,189000
16,MICROSOFT Bluetooth Mouse (Liaoning) [RJN-00005] - Black,291000
17,LENOVO Laser Wireless Mouse [0A36188],555000
18,LOGITECH M720 Triathlon Mouse [910-004792],613000
19,LOGITECH Wireless Mouse M171 [910-004656] - Blue,145000
20,MICROSOFT Designer Bluetooth Mouse [7N5-00010],425000
21,LOGITECH M337 Bluetooth Mouse  - Blue [910-004534],283500
22,LOGITECH Wireless Mouse M235  - Grey [910-003384],302000
23,RAPOO Multi Mode Wireless Mouse MT550 Black,333500
24,LOGITECH Pebble Wireless Bluetooth Mouse M350 Graphite,319000
25,LOGITECH MX Anywhere 3 Mouse [910-005994] - Rose,1345500
26,LOGITECH Wired Optical Mouse B100 [910-006605],59000
27,LOGITECH Wireless Mouse M170 [910-004658] - Black,114000
28,LOGITECH Wireless Mouse M235  - Red [910-003412],302000
29,LOGITECH Wireless Mouse M171 [910-004657] - Red,145000
30,MICROSOFT Bluetooth Mouse (Liaoning) [RJN-00065] - Monza Gray,291000
31,RAPOO Wireless Optical Mouse M10 Plus Blue,103000
32,RAPOO Wireless Optical Mouse M10 Plus White,103000
33,LOGITECH ERGO M575 Wireless Trackball Mouse Black,1049000
34,LOGITECH Wireless Mouse M171 [910-004655] - Grey,145000
35,LOGITECH Pebble Wireless Bluetooth Mouse M350 Rose,299000
36,MICROSOFT Modern Mobile Mouse (Linton) [KTF-00005] - Black,504000
37,MICROSOFT Bluetooth Mouse (Liaoning) [RJN-00029] - Mint Green,291000
38,MICROSOFT Bluetooth Mouse (Liaoning) [RJN-00017] - Pastel Blue,291000
39,APPLE Magic Mouse 2 [MMMQ3ID] - Silver,1500000
